111   2.345491 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=65161 Win=48128 Len=0 TSval=620628 TSecr=2141929948
112   2.345634 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=66609 Win=50944 Len=0 TSval=620628 TSecr=2141929948
113   2.345750 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=68057 Win=53888 Len=0 TSval=620628 TSecr=2141929948
114   2.345865 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=69505 Win=54400 Len=0 TSval=620628 TSecr=2141929948
115   2.346119 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=72401 Win=55040 Len=0 TSval=620628 TSecr=2141929948
116   2.346470 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=76745 Win=55040 Len=0 TSval=620628 TSecr=2141929948
117   2.346745 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=79641 Win=55040 Len=0 TSval=620629 TSecr=2141929948
118   2.346980 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=82537 Win=55040 Len=0 TSval=620629 TSecr=2141929948
119   2.347227 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=85433 Win=55040 Len=0 TSval=620629 TSecr=2141929948
120   2.347472 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=88329 Win=55040 Len=0 TSval=620629 TSecr=2141929948
121   2.347716 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=91225 Win=55040 Len=0 TSval=620629 TSecr=2141929948
122   2.347962 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=94121 Win=55040 Len=0 TSval=620629 TSecr=2141929948
123   2.348213 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=97017 Win=55040 Len=0 TSval=620629 TSecr=2141929948
124   2.360232 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
125   2.371125 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
126   2.371305 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
127   2.371440 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
128   2.371556 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
129   2.371686 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
130   2.371814 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
131   2.371933 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
132   2.372052 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
133   2.372178 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
134   2.372289 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
135   2.372420 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
136   2.372536 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
137   2.372666 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
138   2.372780 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
139   2.372910 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
140   2.373026 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
141   2.373156 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
142   2.373273 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
143   2.373402 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
144   2.373518 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
145   2.373649 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
146   2.373762 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
147   2.373895 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
148   2.374008 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
149   2.385269 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=99913 Win=55040 Len=0 TSval=620638 TSecr=2141929948
150   2.396280 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=102809 Win=55040 Len=0 TSval=620641 TSecr=2141929960
151   2.396338 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=104257 Win=57984 Len=0 TSval=620641 TSecr=2141929960
152   2.396479 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=105705 Win=60928 Len=0 TSval=620641 TSecr=2141929960
153   2.396589 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=107153 Win=63744 Len=0 TSval=620641 TSecr=2141929960
154   2.396714 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=108601 Win=66688 Len=0 TSval=620641 TSecr=2141929960
155   2.396844 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=110049 Win=69504 Len=0 TSval=620641 TSecr=2141929960
156   2.396958 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=111497 Win=72448 Len=0 TSval=620641 TSecr=2141929960
157   2.397081 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=112945 Win=75392 Len=0 TSval=620641 TSecr=2141929960
158   2.397206 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=114393 Win=78208 Len=0 TSval=620641 TSecr=2141929960
159   2.397445 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=117289 Win=78208 Len=0 TSval=620641 TSecr=2141929960
160   2.397689 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=120185 Win=78208 Len=0 TSval=620641 TSecr=2141929961
